x,y
27.219217221958193,24.552642904191014
26.104861612069886,24.37953465196599
23.482583759882175,24.019207145599086
21.72251101813164,23.106474707936602
19.930497245512253,22.71550310085995
19.362823725692515,22.351792845026907
18.510682462508356,22.2751700723261
16.815391152647923,20.841803634393695
14.948684385672495,20.48831622860466
13.076422144895721,20.15034896104797
12.685814985228077,19.76876501574797
10.570004948177086,17.61663475892657
10.385848141934856,16.85338628509688
7.337041426116365,13.96791424879416
6.28724210473176,13.663539250274088
5.02840417978922,13.800527721042998
3.045848101901255,13.554801114805477
3.2755382832725055,13.605802317082949
